2023-11-02 17:11:25.577 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - Starting ThymeleafApplication using Java 17.0.7 on stu-08-019 with PID 11028 (D:\sangmin0816\springboot\thymeleaf\build\classes\java\main started by db400tea in D:\sangmin0816\springboot\thymeleaf)
2023-11-02 17:11:25.579 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-02 17:11:25.605 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-02 17:11:25.606 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-02 17:11:25.981 WARN  [restartedMain] [o.m.spring.mapper.ClassPathMapperScanner] - No MyBatis mapper was found in '[com.example.thymeleaf]' package. Please check your configuration.
2023-11-02 17:11:26.256 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-02 17:11:26.261 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-02 17:11:26.261 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-02 17:11:26.262 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-02 17:11:26.301 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-02 17:11:26.301 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 694 ms
2023-11-02 17:11:26.555 WARN  [restartedMain] [o.s.b.a.s.s.UserDetailsServiceAutoConfiguration] - 

Using generated security password: 8dcb5122-5863-443f-81f4-9858b4933aa7

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2023-11-02 17:11:26.631 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7659190d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@68c10fa4, org.springframework.security.web.context.SecurityContextPersistenceFilter@4130c8e1, org.springframework.security.web.header.HeaderWriterFilter@46a6d4ad, org.springframework.security.web.csrf.CsrfFilter@3ced87dc, org.springframework.security.web.authentication.logout.LogoutFilter@571cb6fc, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1f0cfbbf, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@13455098, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@289c5d9b, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@15717efc, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1c33d239, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@48408754, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@69baa56f, org.springframework.security.web.session.SessionManagementFilter@74021529, org.springframework.security.web.access.ExceptionTranslationFilter@33bc50d9, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@a9d24a9]
2023-11-02 17:11:26.665 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-02 17:11:26.678 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-02 17:11:26.694 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-02 17:11:26.701 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - Started ThymeleafApplication in 1.365 seconds (JVM running for 1.853)
2023-11-02 17:11:29.535 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - Starting ThymeleafApplication using Java 17.0.7 on stu-08-019 with PID 13636 (D:\sangmin0816\springboot\thymeleaf\build\classes\java\main started by db400tea in D:\sangmin0816\springboot\thymeleaf)
2023-11-02 17:11:29.536 INFO  [restartedMain] [c.example.thymeleaf.ThymeleafApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-02 17:11:29.559 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-02 17:11:29.559 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-02 17:11:29.954 WARN  [restartedMain] [o.m.spring.mapper.ClassPathMapperScanner] - No MyBatis mapper was found in '[com.example.thymeleaf]' package. Please check your configuration.
2023-11-02 17:11:30.185 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-02 17:11:30.189 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-02 17:11:30.190 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-02 17:11:30.190 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-02 17:11:30.230 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-02 17:11:30.230 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 671 ms
2023-11-02 17:11:30.481 WARN  [restartedMain] [o.s.b.a.s.s.UserDetailsServiceAutoConfiguration] - 

Using generated security password: cc1fdf3a-c831-43a3-9dc8-c72eb1254e80

This generated password is for development use only. Your security configuration must be updated before running your application in production.

